,Position,Track Name,Artist,Streams
737,115,Bounce Out With That,YBN Nahmir,5397587
738,122,Next To Me,Imagine Dragons,5213958
739,152,Getting Over You,Lauv,4352561
740,154,El Farsante - Remix,Ozuna,4346499
741,175,Opps (with Yugen Blakrok),Vince Staples,4025948
742,188,Black Panther,Kendrick Lamar,3851259
743,190,Cocky,A$AP Rocky,3823251
744,192,Wait (feat. A Boogie Wit da Hoodie),Maroon 5,3797718
745,194,Red Roses (feat. Landon Cube),Lil Skies,3774679
746,200,Leave a Light On,Tom Walker,3676340
747,1,Call Out My Name,The Weeknd,40628023
748,6,Try Me,The Weeknd,24189356
749,7,SAD!,XXXTENTACION,22478204
750,8,Wasted Times,The Weeknd,21345197
751,11,Freaky Friday (feat. Chris Brown),Lil Dicky,20034897
752,16,Hurt You,The Weeknd,17639162
753,17,I Was Never There,The Weeknd,17597962
754,19,In My Blood,Shawn Mendes,16340800
755,21,Privilege,The Weeknd,15068329
756,25,Plug Walk,Rich The Kid,13541217
757,30,Moonlight,XXXTENTACION,11891884
758,42,Nevermind,Dennis Lloyd,9682569
759,46,Lost In Japan,Shawn Mendes,9508929
760,47,Mad Love,Sean Paul,9291803
761,48,Remind Me to Forget,Kygo,9288664
762,53,Powerglide (feat. Juicy J),Rae Sremmurd,8493716
763,58,changes,XXXTENTACION,7807749
764,60,Lemon - Drake Remix,N.E.R.D,7799031
765,69,Flames,David Guetta,7087435
766,75,El Préstamo,Maluma,6825315
767,78,1950,King Princess,6679903
768,79,JAPAN,Famous Dex,6641492
769,89,Be Careful,Cardi B,6053194
770,90,Everybody Hates Me,The Chainsmokers,6025394
771,106,the remedy for a broken heart (why am I so in love),XXXTENTACION,5213690
772,107,Bad Company,A$AP Rocky,5211831
773,120,Beautiful,Bazzi,4881286
774,138,OKRA,"Tyler, The Creator",4523203
775,139,Te Amo,Piso 21,4468706
776,141,66,Lil Yachty,4433655
777,143,La Player (Bandolera),Zion & Lennox,4405038
778,147,Indecente,Anitta,4343129
779,155,Pineapple (feat. Gucci Mane & Quavo),Ty Dolla $ign,4218652
780,163,Ahora,J Balvin,4017868
781,164,Africa,Toto,4017390
